category,brand,family_key,model,model_year,device_line,chip_family,storage_options,carrier_status,default_condition,source_sheet,base_price_usd,fair_price_from_sheet_cad,maximum_buy_price_cad,max_listing_price_to_alert_cad,condition_prices_usd,deduction_rules_usd,aliases,notes
macbook,apple,macbook_pro_16_m_4_pro_high__not_applicable,macbook pro 16 m 4 pro high,2024,macbook pro,m 4 pro,512gb,not_applicable,open,MacBook Master,1950.00,2730.00,2184.00,2402.40,"{""activated"":1950.0,""open"":1950.0,""sealed"":2050.0}",{},macbook pro 16 m 4 pro high|macbook pro 16 m 4 pro high 512 gb|mbp 16 m 4 pro high|pro 16 m 4 pro high,Higher-spec 16-inch M4 Pro 512GB row
macbook,apple,macbook_pro_16_m_5_max_36_gb__not_applicable,macbook pro 16 m 5 max 36 gb,2026,macbook pro,m 5 max,36gb,not_applicable,open,MacBook Master,2700.00,3780.00,3024.00,3326.40,"{""activated"":2700.0,""open"":2700.0,""sealed"":2790.0}",{},macbook pro 16 m 5 max 36 gb|macbook pro 16 m 5 max 36 gb 36 gb|mbp 16 m 5 max 36 gb|pro 16 m 5 max 36 gb,"M5 MAX / 18C-32C / 36GB / 2TB / 16"""
macbook,apple,macbook_pro_16_m_5_max_48_gb__not_applicable,macbook pro 16 m 5 max 48 gb,2026,macbook pro,m 5 max,48gb,not_applicable,open,MacBook Master,3060.00,4284.00,3427.20,3769.92,"{""activated"":3060.0,""open"":3060.0,""sealed"":3150.0}",{},macbook pro 16 m 5 max 48 gb|macbook pro 16 m 5 max 48 gb 48 gb|mbp 16 m 5 max 48 gb|pro 16 m 5 max 48 gb,"M5 MAX / 18C-40C / 48GB / 2TB / 16"""
macbook,apple,macbook_pro_16_m_5_pro_24_gb__not_applicable,macbook pro 16 m 5 pro 24 gb,2026,macbook pro,m 5 pro,24gb,not_applicable,open,MacBook Master,1935.00,2709.00,2167.20,2383.92,"{""activated"":1935.0,""open"":1935.0,""sealed"":1980.0}",{},macbook pro 16 m 5 pro 24 gb|macbook pro 16 m 5 pro 24 gb 24 gb|mbp 16 m 5 pro 24 gb|pro 16 m 5 pro 24 gb,"M5 PRO / 18C-20C / 24GB / 1TB / 16"""
pixel,google,google_pixel_10__carrier_locked,google pixel 10,,,,,carrier_locked,ab_grade,Pixel Master,110.00,154.00,123.20,135.52,"{""ab_grade"":110.0,""c"":60.0,""d"":20.0,""new"":210.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":30.0},""demo"":{""kind"":""flat_usd"",""value"":50.0}}",google pixel 10|google pixel 10 carrier locked|google pixel 10 locked|pixel 10,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_10_pro__carrier_locked,google pixel 10 pro,,,,,carrier_locked,ab_grade,Pixel Master,135.00,189.00,151.20,166.32,"{""ab_grade"":135.0,""c"":75.0,""d"":30.0,""doa"":10.0,""new"":255.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":40.0},""demo"":{""kind"":""flat_usd"",""value"":60.0}}",10 pro|google pixel 10 pro|google pixel 10 pro carrier locked|google pixel 10 pro locked|pixel 10 pro,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_10_pro__unlocked,google pixel 10 pro,,,,,unlocked,b_plus,Pixel Master,30.00,42.00,33.60,36.96,"{""a"":75.0,""b_plus"":30.0,""open"":135.0,""sealed"":255.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",10 pro|google pixel 10 pro|google pixel 10 pro unlocked|pixel 10 pro,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_10_pro_xl__carrier_locked,google pixel 10 pro xl,,,,,carrier_locked,ab_grade,Pixel Master,165.00,231.00,184.80,203.28,"{""ab_grade"":165.0,""c"":85.0,""d"":50.0,""doa"":20.0,""new"":285.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":40.0},""demo"":{""kind"":""flat_usd"",""value"":80.0}}",10 pro xl|google pixel 10 pro xl|google pixel 10 pro xl carrier locked|google pixel 10 pro xl locked|pixel 10 pro xl,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_10_pro_xl__unlocked,google pixel 10 pro xl,,,,,unlocked,b_plus,Pixel Master,50.00,70.00,56.00,61.60,"{""a"":85.0,""b_plus"":50.0,""open"":165.0,""sealed"":285.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",10 pro xl|google pixel 10 pro xl|google pixel 10 pro xl unlocked|pixel 10 pro xl,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_6__carrier_locked,google pixel 6,,,,,carrier_locked,ab_grade,Pixel Master,30.00,42.00,33.60,36.96,"{""ab_grade"":30.0,""c"":20.0,""d"":10.0,""doa"":5.0,""new"":50.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":10.0},""demo"":{""kind"":""flat_usd"",""value"":10.0}}",google pixel 6|google pixel 6 carrier locked|google pixel 6 locked|pixel 6,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_6_a__carrier_locked,google pixel 6 a,,,,,carrier_locked,ab_grade,Pixel Master,30.00,42.00,33.60,36.96,"{""ab_grade"":30.0,""c"":20.0,""d"":10.0,""doa"":5.0,""new"":50.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":10.0},""demo"":{""kind"":""flat_usd"",""value"":10.0}}",google pixel 6 a|google pixel 6 a carrier locked|google pixel 6 a locked|pixel 6 a,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_6_a__unlocked,google pixel 6 a,,,,,unlocked,b_plus,Pixel Master,10.00,14.00,11.20,12.32,"{""a"":20.0,""b_plus"":10.0,""open"":30.0,""sealed"":50.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",google pixel 6 a|google pixel 6 a unlocked|pixel 6 a,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_6_pro__carrier_locked,google pixel 6 pro,,,,,carrier_locked,ab_grade,Pixel Master,40.00,56.00,44.80,49.28,"{""ab_grade"":40.0,""c"":20.0,""d"":10.0,""doa"":5.0,""new"":60.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":10.0},""demo"":{""kind"":""flat_usd"",""value"":20.0}}",6 pro|google pixel 6 pro|google pixel 6 pro carrier locked|google pixel 6 pro locked|pixel 6 pro,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_6_pro__unlocked,google pixel 6 pro,,,,,unlocked,b_plus,Pixel Master,10.00,14.00,11.20,12.32,"{""a"":20.0,""b_plus"":10.0,""open"":40.0,""sealed"":60.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",6 pro|google pixel 6 pro|google pixel 6 pro unlocked|pixel 6 pro,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_7__carrier_locked,google pixel 7,,,,,carrier_locked,ab_grade,Pixel Master,40.00,56.00,44.80,49.28,"{""ab_grade"":40.0,""c"":20.0,""d"":10.0,""doa"":5.0,""new"":70.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":10.0},""demo"":{""kind"":""flat_usd"",""value"":20.0}}",google pixel 7|google pixel 7 carrier locked|google pixel 7 locked|pixel 7,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
